"assignment_name","assignment_url","starter_code_url","github_username","roster_identifier","student_repository_name","student_repository_url","submission_timestamp","points_awarded","points_available"
"lab0-1-run-os2","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab0-1-run-os2","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","Weijun-H","","lab0-1-run-os2-Weijun-H","https://github.com/LearningOS/lab0-1-run-os2-Weijun-H","2022-07-10 23:59:59 UTC","100","0"
"lab0-1-run-os2","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab0-1-run-os2","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","BL-GS","","lab0-1-run-os2-BL-GS","https://github.com/LearningOS/lab0-1-run-os2-BL-GS","","0","0"
"lab0-1-run-os2","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab0-1-run-os2","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","brelance","","lab0-1-run-os2-brelance","https://github.com/LearningOS/lab0-1-run-os2-brelance","","0","0"
"lab0-1-run-os2","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab0-1-run-os2","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","sslime336","","lab0-1-run-os2-sslime336","https://github.com/LearningOS/lab0-1-run-os2-sslime336","2022-07-09 23:59:59 UTC","100","0"
"lab0-1-run-os2","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab0-1-run-os2","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","wq-yang","","lab0-1-run-os2-wq-yang","https://github.com/LearningOS/lab0-1-run-os2-wq-yang","2022-07-09 23:59:59 UTC","0","0"
"lab0-1-run-os2","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab0-1-run-os2","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","ZHOUSH41","","lab0-1-run-os2-ZHOUSH41","https://github.com/LearningOS/lab0-1-run-os2-ZHOUSH41","2022-07-09 23:59:59 UTC","0","0"
"lab0-1-run-os2","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab0-1-run-os2","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","Yakkhini","","lab0-1-run-os2-Yakkhini","https://github.com/LearningOS/lab0-1-run-os2-Yakkhini","2022-07-09 23:59:59 UTC","100","0"
"lab0-1-run-os2","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab0-1-run-os2","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","phpgoc","","lab0-1-run-os2-phpgoc","https://github.com/LearningOS/lab0-1-run-os2-phpgoc","2022-07-09 23:59:59 UTC","0","0"
"lab0-1-run-os2","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab0-1-run-os2","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","traversalnat","","lab0-1-run-os2-traversalnat","https://github.com/LearningOS/lab0-1-run-os2-traversalnat","2022-07-09 23:59:59 UTC","0","0"
"lab0-1-run-os2","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab0-1-run-os2","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","nooop3","","lab0-1-run-os2-nooop3","https://github.com/LearningOS/lab0-1-run-os2-nooop3","2022-07-10 23:59:59 UTC","0","0"
"lab0-1-run-os2","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab0-1-run-os2","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","xuwuu","","lab0-1-run-os2-xuwuu","https://github.com/LearningOS/lab0-1-run-os2-xuwuu","","0","0"
"lab0-1-run-os2","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab0-1-run-os2","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","Trojanking123","","lab0-1-run-os2-Trojanking123","https://github.com/LearningOS/lab0-1-run-os2-Trojanking123","2022-07-10 23:59:59 UTC","100","0"
"lab0-1-run-os2","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab0-1-run-os2","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","zackhsw","","lab0-1-run-os2-zackhsw","https://github.com/LearningOS/lab0-1-run-os2-zackhsw","","0","0"
"lab0-1-run-os2","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab0-1-run-os2","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","zhaiqiming","","lab0-1-run-os2-zhaiqiming","https://github.com/LearningOS/lab0-1-run-os2-zhaiqiming","","0","0"
